epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1227.08,1.24444,0.96081,1.3403,0.65243,0.54209,0.52874,0.19087,2.17105,1.27046,1.85628,0.00675546,0.00675546,0.00675546
43,1256.29,1.26985,0.96321,1.36709,0.6072,0.51506,0.48452,0.19846,2.00643,1.26167,1.75389,0.0066191,0.0066191,0.0066191
44,1285.23,1.24362,0.93821,1.34205,0.67722,0.44318,0.46167,0.18608,2.06606,1.31169,1.76712,0.00648164,0.00648164,0.00648164
45,1314.31,1.2471,0.94949,1.34702,0.63697,0.36693,0.44293,0.18692,1.97595,1.34425,1.74026,0.00634322,0.00634322,0.00634322
46,1343.36,1.24839,0.91171,1.34325,0.61095,0.4925,0.49333,0.22235,1.86227,1.24351,1.66929,0.00620396,0.00620396,0.00620396
47,1372.45,1.26731,0.91325,1.36429,0.69986,0.46469,0.50629,0.24133,1.87125,1.15795,1.64686,0.006064,0.006064,0.006064
48,1401.49,1.2208,0.89504,1.33241,0.69814,0.45331,0.50768,0.22639,1.87056,1.23125,1.68157,0.00592349,0.00592349,0.00592349
49,1430.55,1.21738,0.85851,1.3164,0.64696,0.48322,0.50205,0.22548,1.86963,1.2095,1.61731,0.00578256,0.00578256,0.00578256
50,1459.68,1.22754,0.86096,1.32422,0.60191,0.44356,0.4718,0.23244,1.76449,1.24415,1.57321,0.00564135,0.00564135,0.00564135
51,1488.71,1.22929,0.84836,1.32951,0.69011,0.46546,0.51028,0.25716,1.73493,1.1553,1.54696,0.0055,0.0055,0.0055
52,1517.88,1.21728,0.83463,1.30358,0.78176,0.45516,0.52398,0.24886,1.79015,1.18729,1.59368,0.00535865,0.00535865,0.00535865
53,1547.13,1.1965,0.8273,1.29503,0.72337,0.47424,0.53149,0.24165,1.85552,1.19814,1.63099,0.00521744,0.00521744,0.00521744
54,1576.25,1.19821,0.818,1.30119,0.60022,0.53642,0.53603,0.26969,1.718,1.14359,1.51711,0.00507651,0.00507651,0.00507651
55,1605.39,1.20993,0.79188,1.30475,0.68701,0.5224,0.5357,0.27148,1.73556,1.09732,1.55175,0.004936,0.004936,0.004936
56,1634.59,1.20245,0.77608,1.30142,0.86068,0.45516,0.58089,0.2897,1.73537,1.11266,1.53578,0.00479604,0.00479604,0.00479604
57,1663.83,1.181,0.77477,1.28799,0.76305,0.56182,0.59126,0.30239,1.67793,1.06182,1.48721,0.00465678,0.00465678,0.00465678
58,1693.01,1.1962,0.77306,1.29811,0.78977,0.49224,0.57074,0.27629,1.77764,1.1146,1.56403,0.00451836,0.00451836,0.00451836
59,1722.06,1.19851,0.76669,1.29955,0.80247,0.52539,0.61445,0.3111,1.72058,1.04912,1.55306,0.0043809,0.0043809,0.0043809
60,1751.27,1.17131,0.76674,1.28487,0.74338,0.55109,0.60663,0.3184,1.5981,1.03787,1.44585,0.00424454,0.00424454,0.00424454
61,1780.41,1.19305,0.75475,1.28623,0.74561,0.57802,0.63658,0.32433,1.67867,1.026,1.49331,0.00410942,0.00410942,0.00410942
62,1809.59,1.17172,0.75048,1.28188,0.69497,0.56889,0.57026,0.31203,1.60221,1.07408,1.45423,0.00397568,0.00397568,0.00397568
63,1838.62,1.1679,0.73163,1.27388,0.78206,0.52155,0.62762,0.31152,1.72925,1.04266,1.53542,0.00384344,0.00384344,0.00384344
64,1867.83,1.1539,0.71199,1.27558,0.81236,0.51974,0.59154,0.31054,1.65277,1.02252,1.48848,0.00371283,0.00371283,0.00371283
65,1896.93,1.15162,0.69903,1.26225,0.87494,0.50976,0.63119,0.31688,1.68407,0.99457,1.49081,0.00358399,0.00358399,0.00358399
66,1925.96,1.16208,0.7119,1.27452,0.76469,0.50986,0.57868,0.29974,1.62753,1.04407,1.45061,0.00345704,0.00345704,0.00345704
67,1955.05,1.15958,0.70358,1.27004,0.83284,0.51189,0.62222,0.32999,1.602,1.0267,1.44652,0.00333211,0.00333211,0.00333211
68,1984.14,1.15772,0.70355,1.26042,0.82124,0.52109,0.59362,0.31513,1.55909,0.98732,1.43596,0.00320931,0.00320931,0.00320931
69,2013.22,1.14186,0.70259,1.25884,0.85595,0.5469,0.62239,0.33838,1.55509,1.0146,1.41961,0.00308878,0.00308878,0.00308878
70,2042.33,1.16076,0.70251,1.26965,0.85559,0.54276,0.63144,0.32899,1.62837,0.97945,1.46835,0.00297062,0.00297062,0.00297062
71,2071.51,1.13166,0.68427,1.24753,0.89197,0.50782,0.59394,0.3061,1.62332,1.07385,1.45552,0.00285497,0.00285497,0.00285497
72,2100.49,1.12574,0.67855,1.24602,0.80781,0.56221,0.65287,0.36432,1.52231,0.94275,1.41235,0.00274192,0.00274192,0.00274192
73,2129.68,1.13361,0.70084,1.2498,0.83868,0.54784,0.6173,0.33946,1.53538,0.99264,1.43952,0.00263159,0.00263159,0.00263159
74,2158.81,1.11228,0.6645,1.23449,0.91056,0.54258,0.6563,0.35111,1.58587,0.93944,1.42917,0.0025241,0.0025241,0.0025241
75,2188.16,1.09405,0.65355,1.22587,0.86355,0.59083,0.67047,0.36256,1.52234,0.97812,1.40151,0.00241954,0.00241954,0.00241954
76,2217.22,1.08967,0.64096,1.22411,0.88817,0.54683,0.64402,0.35412,1.48511,0.92414,1.36942,0.00231802,0.00231802,0.00231802
77,2246.45,1.09549,0.65138,1.22787,0.85469,0.58211,0.62955,0.36524,1.44906,0.99217,1.38249,0.00221964,0.00221964,0.00221964
78,2275.67,1.0903,0.64562,1.22379,0.89422,0.53663,0.65959,0.37845,1.45598,0.88961,1.36616,0.0021245,0.0021245,0.0021245
79,2304.96,1.07516,0.63191,1.2086,0.93087,0.54052,0.64493,0.36466,1.46662,1.01306,1.36364,0.00203269,0.00203269,0.00203269
80,2334.27,1.0808,0.62846,1.21227,0.88421,0.56163,0.68579,0.38189,1.49333,0.88477,1.35948,0.0019443,0.0019443,0.0019443
81,2363.25,1.06926,0.62344,1.20777,0.8995,0.55793,0.64332,0.37245,1.48151,0.98396,1.38075,0.00185942,0.00185942,0.00185942
82,2392.28,1.05521,0.62319,1.20312,0.89716,0.5433,0.6148,0.3874,1.33409,0.87789,1.29169,0.00177814,0.00177814,0.00177814
83,2421.46,1.06891,0.62262,1.20962,0.91281,0.54449,0.63906,0.38866,1.41273,0.94682,1.33479,0.00170052,0.00170052,0.00170052
84,2450.61,1.05647,0.60265,1.20382,0.90186,0.56347,0.67604,0.38485,1.45687,0.86669,1.34603,0.00162666,0.00162666,0.00162666
85,2479.71,1.05154,0.60315,1.20643,0.88245,0.5669,0.66922,0.38897,1.41367,0.93289,1.34225,0.00155662,0.00155662,0.00155662
86,2508.96,1.05627,0.59756,1.19804,0.85021,0.62306,0.6958,0.42247,1.34862,0.8754,1.31144,0.00149047,0.00149047,0.00149047
87,2538.12,1.04249,0.6032,1.18928,0.92201,0.54383,0.66444,0.41888,1.32555,0.90271,1.28049,0.00142828,0.00142828,0.00142828
88,2567.39,1.03163,0.58496,1.18368,0.59494,0.60418,0.66225,0.41886,1.28796,0.86471,1.28355,0.0013701,0.0013701,0.0013701
89,2596.55,1.04445,0.58616,1.19194,0.85557,0.60663,0.65949,0.40983,1.34848,0.94225,1.31071,0.00131601,0.00131601,0.00131601
90,2625.8,1.02716,0.58144,1.18505,0.87786,0.5984,0.68189,0.42254,1.30734,0.85157,1.27247,0.00126604,0.00126604,0.00126604
91,2656.39,1.0391,0.58139,1.18807,0.85749,0.54908,0.64511,0.40697,1.25941,0.89623,1.26304,0.00122025,0.00122025,0.00122025
92,2685.57,1.02483,0.5663,1.18028,0.78666,0.59188,0.63974,0.40533,1.30338,0.89383,1.29211,0.00117868,0.00117868,0.00117868
93,2714.66,1.01271,0.57512,1.17869,0.85569,0.60371,0.66217,0.41234,1.31513,0.87695,1.29443,0.00114138,0.00114138,0.00114138
94,2743.89,1.02126,0.56997,1.18021,0.77642,0.57926,0.60888,0.38846,1.27495,0.8897,1.27632,0.00110837,0.00110837,0.00110837
95,2773.01,1.01303,0.57231,1.16926,0.85089,0.59362,0.65459,0.42362,1.23956,0.85152,1.24907,0.00107971,0.00107971,0.00107971
96,2802.12,1.00407,0.57055,1.16874,0.8359,0.62205,0.65115,0.42113,1.27639,0.91025,1.26896,0.0010554,0.0010554,0.0010554
97,2831.3,1.00267,0.5585,1.17002,0.86732,0.57144,0.6403,0.41892,1.2485,0.8644,1.26633,0.00103548,0.00103548,0.00103548
98,2860.42,0.994,0.55141,1.16043,0.85164,0.56547,0.6197,0.39314,1.35061,0.92878,1.30455,0.00101997,0.00101997,0.00101997
99,2889.48,0.99378,0.55276,1.16251,0.84032,0.53099,0.63031,0.40688,1.25206,0.85051,1.25517,0.00100888,0.00100888,0.00100888
100,2918.51,1.00805,0.55699,1.16372,0.84493,0.54263,0.62211,0.41373,1.23331,0.88853,1.25131,0.00100222,0.00100222,0.00100222
